Account-Balance,Duration-of-Credit-Month,Payment-Status-of-Previous-Credit,Purpose,Credit-Amount,Value-Savings-Stocks,Length-of-current-employment,Instalment-per-cent,Guarantors,Duration-in-Current-address,Most-valuable-available-asset,Age-years,Concurrent-Credits,Type-of-apartment,No-of-Credits-at-this-Bank,Occupation,No-of-dependents,Telephone,Foreign-Worker
No Account,48,Some Problems,Home Related,6416,None,4-7 yrs,4,None,3,4,59,Other Banks/Depts,1,1,1,1,1,1
No Account,12,No Problems (in this bank),Used car,3617,None,4-7 yrs,1,None,4,3,28,Other Banks/Depts,1,More than 1,1,1,2,1
Some Balance,12,No Problems (in this bank),Home Related,1291,None,< 1yr,4,None,2,2,35,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,24,Paid Up,Used car,3972,None,1-4 yrs,2,None,4,2,25,Other Banks/Depts,1,1,1,1,2,1
Some Balance,15,Paid Up,Home Related,392,None,< 1yr,4,None,4,2,23,Other Banks/Depts,1,1,1,1,2,1
Some Balance,30,No Problems (in this bank),Home Related,5771,None,1-4 yrs,4,None,2,3,25,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,6,No Problems (in this bank),Home Related,1382,None,< 1yr,1,None,1,3,28,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,12,Paid Up,Home Related,1297,None,< 1yr,3,None,4,1,23,Other Banks/Depts,1,1,1,1,1,1
Some Balance,12,Paid Up,Home Related,1963,None,1-4 yrs,4,None,2,3,31,Other Banks/Depts,1,More than 1,1,2,2,1
No Account,12,No Problems (in this bank),New car,1804,< £100,< 1yr,3,None,4,2,44,Other Banks/Depts,2,1,1,1,1,1
Some Balance,18,Paid Up,Home Related,1950,None,1-4 yrs,4,None,1,3,34,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,48,No Problems (in this bank),Home Related,12749,£100-£1000,1-4 yrs,4,None,1,3,37,Other Banks/Depts,2,1,1,1,2,1
Some Balance,9,Paid Up,Home Related,1236,None,< 1yr,1,None,4,1,23,Other Banks/Depts,1,1,1,1,2,1
No Account,30,Some Problems,Home Related,8072,£100-£1000,< 1yr,2,None,3,3,25,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,30,No Problems (in this bank),Home Related,2831,None,< 1yr,4,None,2,3,33,Other Banks/Depts,2,1,1,1,2,1
Some Balance,36,Paid Up,Home Related,5742,< £100,1-4 yrs,2,None,2,3,31,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,12,Paid Up,Home Related,2390,£100-£1000,4-7 yrs,4,None,3,3,50,Other Banks/Depts,2,1,1,1,2,1
Some Balance,21,Paid Up,Home Related,2923,< £100,< 1yr,1,None,1,3,28,Other Banks/Depts,2,1,1,1,2,1
No Account,48,Paid Up,Home Related,8487,£100-£1000,1-4 yrs,1,None,2,3,24,Other Banks/Depts,2,1,1,1,1,1
Some Balance,24,Paid Up,Home Related,2255,£100-£1000,< 1yr,4,None,1,2,54,Other Banks/Depts,2,1,1,1,1,1
Some Balance,18,No Problems (in this bank),Used car,1817,None,< 1yr,4,None,2,4,28,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,18,Some Problems,Home Related,1445,£100-£1000,1-4 yrs,4,None,4,3,49,Other Banks/Depts,2,1,1,1,1,1
No Account,24,Paid Up,Used car,7721,£100-£1000,< 1yr,1,None,2,2,30,Other Banks/Depts,2,1,1,1,2,2
No Account,21,Paid Up,Home Related,3763,£100-£1000,1-4 yrs,2,Yes,2,1,24,Other Banks/Depts,2,1,1,1,1,2
No Account,15,Paid Up,Home Related,1444,£100-£1000,< 1yr,4,None,1,2,23,Other Banks/Depts,2,1,1,1,1,1
Some Balance,9,Paid Up,Home Related,2753,< £100,4-7 yrs,3,Yes,4,3,35,Other Banks/Depts,2,1,1,1,2,1
No Account,24,Some Problems,Used car,2483,£100-£1000,< 1yr,4,None,4,1,22,Other Banks/Depts,2,1,1,1,2,1
Some Balance,6,No Problems (in this bank),Home Related,1299,None,< 1yr,1,None,1,1,74,Other Banks/Depts,2,More than 1,1,2,1,2
Some Balance,10,Paid Up,Home Related,1287,£100-£1000,4-7 yrs,4,Yes,2,2,45,Other Banks/Depts,2,1,1,1,1,2
No Account,18,Some Problems,Home Related,1940,None,< 1yr,3,Yes,4,4,36,Other Banks/Depts,3,1,1,1,2,1
Some Balance,24,No Problems (in this bank),New car,4679,None,1-4 yrs,3,None,3,3,35,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,18,Paid Up,Used car,2659,£100-£1000,< 1yr,4,None,2,3,28,Other Banks/Depts,2,1,1,1,1,1
Some Balance,14,No Problems (in this bank),Home Related,802,None,< 1yr,4,None,2,3,27,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,21,Paid Up,Home Related,1572,£100-£1000,4-7 yrs,4,None,4,1,36,Other Banks/Depts,2,1,1,1,1,1
Some Balance,6,Some Problems,Home Related,426,None,4-7 yrs,4,None,4,3,39,Other Banks/Depts,2,1,1,1,1,1
No Account,30,Paid Up,New car,3857,None,< 1yr,4,None,4,2,40,Other Banks/Depts,2,1,1,1,2,1
No Account,12,Paid Up,Home Related,685,None,1-4 yrs,2,None,3,3,25,Other Banks/Depts,2,1,1,1,1,1
No Account,24,Paid Up,Home Related,1603,None,4-7 yrs,4,None,4,3,55,Other Banks/Depts,2,1,1,1,1,1
Some Balance,4,Paid Up,Used car,601,None,< 1yr,1,None,3,1,23,Other Banks/Depts,1,1,1,2,1,1
Some Balance,15,No Problems (in this bank),Home Related,1316,£100-£1000,< 1yr,2,None,2,2,47,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,60,Paid Up,Home Related,10366,None,4-7 yrs,2,None,4,2,42,Other Banks/Depts,2,1,1,1,2,1
Some Balance,18,Paid Up,Home Related,1568,< £100,< 1yr,3,None,4,2,24,Other Banks/Depts,1,1,1,1,1,1
Some Balance,18,No Problems (in this bank),Home Related,629,£100-£1000,4-7 yrs,4,None,3,2,32,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,6,Some Problems,Home Related,1750,£100-£1000,4-7 yrs,2,None,4,2,45,Other Banks/Depts,2,1,1,2,1,1
Some Balance,24,Paid Up,New car,3488,< £100,1-4 yrs,3,None,4,3,23,Other Banks/Depts,2,1,1,1,1,1
No Account,15,Paid Up,Home Related,2631,< £100,< 1yr,3,None,2,1,25,Other Banks/Depts,2,1,1,1,1,1
Some Balance,21,Paid Up,New car,5248,£100-£1000,< 1yr,1,None,3,3,26,Other Banks/Depts,2,1,1,1,1,1
No Account,18,No Problems (in this bank),Home Related,6204,None,< 1yr,2,None,4,1,44,Other Banks/Depts,2,1,1,2,2,1
Some Balance,12,Paid Up,Home Related,804,None,4-7 yrs,4,None,4,3,38,Other Banks/Depts,2,1,1,1,1,1
No Account,15,No Problems (in this bank),Used car,3643,None,4-7 yrs,1,None,4,2,27,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,10,No Problems (in this bank),Used car,2146,None,< 1yr,1,None,3,1,23,Other Banks/Depts,1,More than 1,1,1,1,1
Some Balance,5,Paid Up,Home Related,3448,None,1-4 yrs,1,None,4,1,74,Other Banks/Depts,2,1,1,1,1,1
Some Balance,15,Paid Up,Used car,2708,None,< 1yr,2,None,3,2,27,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,22,Paid Up,Home Related,2675,£100-£1000,4-7 yrs,3,None,4,3,40,Other Banks/Depts,2,1,1,1,1,1
No Account,9,Paid Up,Home Related,2118,None,< 1yr,2,None,2,1,37,Other Banks/Depts,2,1,1,2,1,1
Some Balance,15,Some Problems,Home Related,1569,< £100,4-7 yrs,4,None,4,3,34,Other Banks/Depts,2,1,1,2,1,1
Some Balance,36,No Problems (in this bank),Used car,7678,£100-£1000,1-4 yrs,2,None,4,3,40,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,12,Some Problems,Home Related,3447,£100-£1000,< 1yr,4,None,3,1,35,Other Banks/Depts,2,1,1,2,1,1
Some Balance,15,Paid Up,Home Related,3568,None,4-7 yrs,4,None,2,3,54,Other Banks/Depts,1,1,1,1,2,1
No Account,21,No Problems (in this bank),Home Related,3652,None,1-4 yrs,2,None,3,2,27,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,24,Paid Up,Home Related,3660,None,< 1yr,2,None,4,3,28,Other Banks/Depts,2,1,1,1,1,1
Some Balance,9,Paid Up,Home Related,1126,< £100,4-7 yrs,2,None,4,1,49,Other Banks/Depts,2,1,1,1,1,1
Some Balance,6,No Problems (in this bank),Home Related,683,None,< 1yr,2,None,1,2,29,Other Banks/Depts,2,1,1,1,1,1
Some Balance,12,Paid Up,Used car,2251,None,< 1yr,1,None,2,3,46,Other Banks/Depts,2,1,1,1,1,1
Some Balance,12,Paid Up,New car,4675,£100-£1000,< 1yr,1,None,4,3,20,Other Banks/Depts,1,1,1,1,1,1
No Account,21,No Problems (in this bank),Home Related,2353,None,< 1yr,1,None,4,2,47,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,6,Paid Up,Home Related,672,None,< 1yr,1,None,4,1,54,Other Banks/Depts,2,1,1,1,2,1
No Account,6,No Problems (in this bank),Home Related,338,£100-£1000,4-7 yrs,4,None,4,3,52,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,9,Paid Up,Home Related,2507,£100-£1000,4-7 yrs,2,None,4,4,51,Other Banks/Depts,3,1,1,1,1,1
Some Balance,15,No Problems (in this bank),Home Related,1478,None,< 1yr,4,None,3,1,33,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,12,No Problems (in this bank),Home Related,3565,£100-£1000,< 1yr,2,None,1,2,37,Other Banks/Depts,2,More than 1,1,2,1,1
Some Balance,9,Paid Up,Used car,2301,< £100,< 1yr,2,None,4,2,22,Other Banks/Depts,1,1,1,1,1,1
Some Balance,6,No Problems (in this bank),Home Related,1743,< £100,< 1yr,1,None,2,1,34,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,18,No Problems (in this bank),Home Related,2320,None,< 1yr,2,None,3,1,34,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,24,Paid Up,Home Related,5152,None,1-4 yrs,4,None,2,3,25,Other Banks/Depts,2,1,1,1,1,1
Some Balance,9,No Problems (in this bank),Home Related,3074,£100-£1000,< 1yr,1,None,2,1,33,Other Banks/Depts,2,More than 1,1,2,1,1
Some Balance,6,Some Problems,Home Related,783,£100-£1000,< 1yr,1,Yes,2,1,26,Other Banks/Depts,2,1,1,2,1,1
No Account,21,Paid Up,Home Related,2606,None,< 1yr,4,None,4,2,28,Other Banks/Depts,1,1,1,1,2,1
Some Balance,54,Some Problems,New car,9436,£100-£1000,< 1yr,2,None,2,2,39,Other Banks/Depts,2,1,1,2,1,1
Some Balance,6,No Problems (in this bank),Home Related,250,£100-£1000,< 1yr,2,None,2,1,41,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,6,Paid Up,Home Related,662,None,< 1yr,3,None,4,1,41,Other Banks/Depts,2,1,1,2,2,1
Some Balance,24,Some Problems,Home Related,1559,None,1-4 yrs,4,None,4,3,40,Other Banks/Depts,2,1,1,1,2,1
Some Balance,12,Paid Up,Home Related,3016,None,< 1yr,3,None,1,3,24,Other Banks/Depts,2,1,1,1,1,1
Some Balance,6,Some Problems,Home Related,1204,< £100,< 1yr,4,None,1,4,35,Other Banks/Depts,1,1,1,1,1,2
Some Balance,10,Paid Up,Home Related,1597,£100-£1000,< 1yr,3,None,2,4,40,Other Banks/Depts,1,1,1,2,1,2
Some Balance,12,Paid Up,Home Related,2073,< £100,< 1yr,4,Yes,2,1,28,Other Banks/Depts,2,1,1,1,1,1
No Account,10,No Problems (in this bank),Used car,2132,£100-£1000,< 1yr,2,Yes,3,1,27,Other Banks/Depts,1,More than 1,1,1,1,2
Some Balance,10,Paid Up,Home Related,1418,< £100,< 1yr,3,None,2,1,35,Other Banks/Depts,1,1,1,1,1,2
Some Balance,6,No Problems (in this bank),Home Related,1343,None,4-7 yrs,1,None,4,1,46,Other Banks/Depts,2,More than 1,1,2,1,2
Some Balance,18,Paid Up,Home Related,2662,£100-£1000,1-4 yrs,4,None,3,2,32,Other Banks/Depts,2,1,1,1,1,2
Some Balance,18,No Problems (in this bank),Home Related,6070,None,4-7 yrs,3,None,4,3,33,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,6,No Problems (in this bank),Home Related,1554,None,1-4 yrs,1,None,2,3,24,Other Banks/Depts,1,More than 1,1,1,2,1
No Account,9,No Problems (in this bank),Home Related,1288,< £100,4-7 yrs,3,Yes,4,1,48,Other Banks/Depts,2,More than 1,1,2,1,2
No Account,10,No Problems (in this bank),Home Related,1038,None,1-4 yrs,4,Yes,3,2,49,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,10,Paid Up,New car,2848,< £100,< 1yr,1,Yes,2,1,32,Other Banks/Depts,2,1,1,2,1,1
Some Balance,12,Paid Up,New car,1413,£100-£1000,1-4 yrs,3,None,2,2,55,Other Banks/Depts,2,1,1,1,1,2
Some Balance,18,No Problems (in this bank),New car,3229,£100-£1000,< 1yr,2,None,4,4,38,Other Banks/Depts,2,1,1,1,2,1
Some Balance,9,Paid Up,Home Related,3577,< £100,< 1yr,1,Yes,2,1,26,Other Banks/Depts,1,1,1,2,1,2
Some Balance,10,Paid Up,Home Related,1924,None,< 1yr,1,None,4,2,38,Other Banks/Depts,2,1,1,1,2,2
Some Balance,10,Paid Up,Home Related,727,£100-£1000,4-7 yrs,4,None,4,4,46,Other Banks/Depts,3,1,1,1,2,1
Some Balance,10,No Problems (in this bank),Home Related,781,None,4-7 yrs,4,None,4,4,63,Other Banks/Depts,3,More than 1,1,1,2,1
Some Balance,10,No Problems (in this bank),Used car,2069,£100-£1000,< 1yr,2,None,1,3,26,Other Banks/Depts,2,More than 1,1,1,1,2
Some Balance,24,Paid Up,Home Related,1525,£100-£1000,1-4 yrs,4,None,3,3,34,Other Banks/Depts,2,1,1,2,2,1
Some Balance,48,No Problems (in this bank),Home Related,7629,£100-£1000,4-7 yrs,4,None,2,3,46,Other Banks/Depts,2,More than 1,1,2,1,1
No Account,12,No Problems (in this bank),Home Related,3499,None,< 1yr,3,Yes,2,1,29,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,24,Paid Up,New car,2924,None,< 1yr,3,Yes,4,4,63,Other Banks/Depts,2,1,1,2,2,1
Some Balance,10,No Problems (in this bank),Home Related,1231,None,4-7 yrs,3,None,4,1,32,Other Banks/Depts,2,More than 1,1,2,1,2
Some Balance,15,No Problems (in this bank),Home Related,5045,£100-£1000,4-7 yrs,1,None,4,3,59,Other Banks/Depts,2,1,1,1,2,1
Some Balance,12,No Problems (in this bank),Home Related,1255,None,4-7 yrs,4,None,4,1,61,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,12,Some Problems,Used car,2759,None,4-7 yrs,2,None,4,2,34,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,15,Paid Up,Home Related,1403,None,< 1yr,2,None,4,3,28,Other Banks/Depts,1,1,1,1,1,1
No Account,24,Paid Up,Home Related,6568,None,< 1yr,2,None,2,3,21,Other Banks/Depts,2,1,1,1,1,1
No Account,24,No Problems (in this bank),New car,7758,£100-£1000,4-7 yrs,2,None,4,4,29,Other Banks/Depts,1,1,1,1,1,1
Some Balance,21,No Problems (in this bank),Used car,1591,< £100,1-4 yrs,4,None,3,1,34,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,27,Paid Up,Home Related,3416,None,< 1yr,3,None,2,3,27,Other Banks/Depts,2,1,1,1,1,1
No Account,15,Paid Up,Home Related,1514,< £100,< 1yr,4,Yes,2,1,22,Other Banks/Depts,2,1,1,1,1,1
Some Balance,30,No Problems (in this bank),Home Related,6742,£100-£1000,1-4 yrs,2,None,3,2,36,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,9,Paid Up,Home Related,458,None,< 1yr,4,None,3,1,24,Other Banks/Depts,2,1,1,1,1,1
No Account,9,Paid Up,Used car,918,None,< 1yr,4,None,1,2,30,Other Banks/Depts,2,1,1,1,1,1
No Account,24,Paid Up,New car,2812,£100-£1000,4-7 yrs,2,None,4,1,26,Other Banks/Depts,1,1,1,1,1,1
Some Balance,12,No Problems (in this bank),Home Related,1480,£100-£1000,< 1yr,2,None,4,4,66,Other Banks/Depts,3,More than 1,1,1,1,1
No Account,9,Paid Up,Home Related,1206,None,4-7 yrs,4,None,4,1,25,Other Banks/Depts,2,1,1,1,1,1
Some Balance,12,Paid Up,Home Related,707,None,< 1yr,4,None,2,1,30,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,12,Paid Up,Home Related,6078,None,1-4 yrs,2,None,2,3,32,Other Banks/Depts,2,1,1,1,1,1
No Account,27,Paid Up,Home Related,2528,None,< 1yr,4,None,1,2,32,Other Banks/Depts,2,1,1,2,2,1
No Account,6,Paid Up,New car,1352,£100-£1000,< 1yr,1,None,2,2,23,Other Banks/Depts,1,1,1,1,2,1
Some Balance,24,Paid Up,Home Related,3181,None,< 1yr,4,None,4,2,26,Other Banks/Depts,2,1,1,1,2,1
No Account,48,Paid Up,Home Related,5381,£100-£1000,< 1yr,3,None,4,4,40,Other Banks/Depts,3,1,1,1,2,1
No Account,18,Paid Up,Home Related,1913,£100-£1000,< 1yr,3,None,3,1,36,Other Banks/Depts,2,1,1,1,2,1
Some Balance,12,No Problems (in this bank),Home Related,976,£100-£1000,4-7 yrs,4,None,4,3,35,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,24,No Problems (in this bank),Home Related,2375,£100-£1000,< 1yr,4,None,2,3,44,Other Banks/Depts,2,More than 1,1,2,2,1
Some Balance,12,No Problems (in this bank),Home Related,522,£100-£1000,4-7 yrs,4,None,4,2,42,Other Banks/Depts,2,More than 1,1,2,2,1
Some Balance,18,No Problems (in this bank),Home Related,1169,£100-£1000,< 1yr,4,None,3,2,29,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,15,No Problems (in this bank),Used car,1478,None,4-7 yrs,4,None,4,3,44,Other Banks/Depts,2,More than 1,1,2,2,1
