Credit-Application-Result,Account-Balance,Duration-of-Credit-Month,Payment-Status-of-Previous-Credit,Purpose,Credit-Amount,Value-Savings-Stocks,Length-of-current-employment,Instalment-per-cent,Guarantors,Duration-in-Current-address,Most-valuable-available-asset,Age-years,Concurrent-Credits,Type-of-apartment,No-of-Credits-at-this-Bank,Occupation,No-of-dependents,Telephone,Foreign-Worker
Creditworthy,No Account,9,Paid Up,Home Related,1549,$100-$1000,< 1yr,4,None,2,1,35,Other Banks/Depts,2,1,1,1,1,1
Non-Creditworthy,No Account,9,Paid Up,Home Related,1670,None,< 1yr,4,None,,3,22,Other Banks/Depts,2,1,1,1,2,1
Creditworthy,No Account,9,No Problems (in this bank),Used car,1919,None,1-4 yrs,4,None,,3,35,Other Banks/Depts,1,1,1,1,2,1
Creditworthy,No Account,9,Paid Up,Used car,2030,$100-$1000,1-4 yrs,2,None,,3,24,Other Banks/Depts,2,1,1,1,2,1
Creditworthy,Some Balance,9,No Problems (in this bank),Home Related,2134,None,< 1yr,4,None,,3,48,Other Banks/Depts,2,More than 1,1,1,2,1
Creditworthy,Some Balance,9,No Problems (in this bank),Used car,2406,None,< 1yr,2,None,,3,31,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,9,Paid Up,Home Related,2697,None,< 1yr,1,None,2,1,32,Other Banks/Depts,2,1,1,2,1,1
Creditworthy,No Account,9,Paid Up,Home Related,3195,$100-$1000,< 1yr,1,None,2,1,33,Other Banks/Depts,2,1,1,1,1,1
Non-Creditworthy,No Account,9,Some Problems,New car,5129,None,4-7 yrs,2,None,,4,74,Other Banks/Depts,3,1,1,2,2,1
Creditworthy,Some Balance,10,Paid Up,Home Related,1225,None,< 1yr,2,None,,3,37,Other Banks/Depts,2,1,1,1,2,1
Non-Creditworthy,Some Balance,10,Paid Up,Home Related,1240,< $100,4-7 yrs,1,None,,4,48,Other Banks/Depts,3,1,1,2,1,1
Creditworthy,Some Balance,10,Paid Up,Used car,1275,None,< 1yr,4,None,,2,23,Other Banks/Depts,2,1,1,1,1,1
Non-Creditworthy,Some Balance,10,Paid Up,Home Related,1309,$100-$1000,< 1yr,4,Yes,,2,27,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,10,Paid Up,Home Related,1364,None,< 1yr,2,None,,3,64,Other Banks/Depts,2,1,1,1,2,1
Creditworthy,Some Balance,10,Paid Up,Home Related,1546,None,< 1yr,3,None,2,1,31,Other Banks/Depts,2,1,1,2,1,2
Creditworthy,No Account,10,No Problems (in this bank),Home Related,2241,None,< 1yr,1,None,3,1,48,Other Banks/Depts,1,More than 1,1,2,1,2
Creditworthy,No Account,10,Paid Up,Home Related,2315,None,4-7 yrs,3,None,4,1,52,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,10,Paid Up,New car,2901,$100-$1000,< 1yr,1,None,4,1,31,Other Banks/Depts,1,1,1,1,1,1
Creditworthy,Some Balance,10,Paid Up,Home Related,3949,None,< 1yr,1,Yes,,2,37,Other Banks/Depts,2,1,1,2,1,1
Creditworthy,No Account,10,Paid Up,Home Related,7308,None,< 1yr,2,None,,4,70,Other Banks/Depts,3,1,1,1,2,1
Creditworthy,Some Balance,11,No Problems (in this bank),Home Related,1154,< $100,< 1yr,4,None,4,1,57,Other Banks/Depts,2,More than 1,1,1,1,1
Creditworthy,No Account,11,No Problems (in this bank),Home Related,1322,$100-$1000,< 1yr,4,None,,3,40,Other Banks/Depts,2,More than 1,1,1,1,1
Creditworthy,No Account,11,Paid Up,Used car,1577,$100-$1000,< 1yr,4,None,1,1,20,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,11,Paid Up,Home Related,2142,$100-$1000,4-7 yrs,1,None,2,1,28,Other Banks/Depts,2,1,1,1,2,1
Creditworthy,No Account,11,No Problems (in this bank),Home Related,3939,None,< 1yr,1,None,2,1,40,Other Banks/Depts,2,More than 1,1,2,1,1
Creditworthy,No Account,12,Some Problems,Home Related,339,None,4-7 yrs,4,None,,3,45,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,385,None,1-4 yrs,4,None,3,1,58,Other Banks/Depts,2,More than 1,1,1,2,1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,585,None,< 1yr,4,Yes,4,1,20,Other Banks/Depts,1,More than 1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Home Related,625,None,< 1yr,4,Yes,1,1,26,Other Banks/Depts,2,1,1,1,1,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,639,None,< 1yr,4,None,,3,30,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Used car,652,None,4-7 yrs,4,None,,2,24,Other Banks/Depts,1,1,1,1,1,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,674,< $100,1-4 yrs,4,None,,2,20,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,682,< $100,1-4 yrs,4,None,,3,51,Other Banks/Depts,2,More than 1,1,1,2,1
Non-Creditworthy,No Account,12,Some Problems,Home Related,697,None,< 1yr,4,None,,3,46,Other Banks/Depts,2,More than 1,1,1,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,701,None,< 1yr,4,None,,3,32,Other Banks/Depts,2,More than 1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Home Related,701,None,< 1yr,4,None,2,1,40,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Used car,708,None,< 1yr,2,Yes,,2,38,Other Banks/Depts,2,1,1,2,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,717,None,4-7 yrs,4,None,4,1,52,Other Banks/Depts,2,More than 1,1,1,1,1
Non-Creditworthy,Some Balance,12,Paid Up,Home Related,719,None,4-7 yrs,4,None,,3,41,Other Banks/Depts,2,1,1,2,1,1
Creditworthy,No Account,12,Paid Up,Home Related,754,$100-$1000,4-7 yrs,4,None,,2,38,Other Banks/Depts,2,More than 1,1,1,1,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,759,None,1-4 yrs,4,None,2,1,26,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,12,Paid Up,Used car,763,None,< 1yr,4,None,1,1,26,Other Banks/Depts,2,1,1,1,2,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,766,$100-$1000,< 1yr,4,None,3,1,66,Other Banks/Depts,2,1,1,1,1,1
Non-Creditworthy,Some Balance,12,No Problems (in this bank),Other,797,$100-$1000,4-7 yrs,4,None,3,2,33,Other Banks/Depts,2,1,1,2,1,1
Non-Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,797,$100-$1000,4-7 yrs,4,None,,2,33,Other Banks/Depts,2,1,1,2,1,1
Creditworthy,No Account,12,Paid Up,Home Related,841,< $100,1-4 yrs,2,None,4,1,23,Other Banks/Depts,1,1,1,1,1,1
Creditworthy,Some Balance,12,Paid Up,Home Related,886,$100-$1000,< 1yr,4,None,,3,21,Other Banks/Depts,2,1,1,1,1,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,888,None,4-7 yrs,4,None,,3,41,Other Banks/Depts,2,1,1,2,1,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,900,$100-$1000,< 1yr,4,None,,3,23,Other Banks/Depts,2,1,1,1,1,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,902,None,1-4 yrs,4,None,,2,21,Other Banks/Depts,1,1,1,1,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,926,None,< 1yr,1,None,,2,38,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Other,930,$100-$1000,4-7 yrs,4,None,4,1,,Other Banks/Depts,2,More than 1,1,1,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,930,$100-$1000,4-7 yrs,4,None,4,1,65,Other Banks/Depts,2,More than 1,1,1,1,1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,958,None,1-4 yrs,2,None,3,1,47,Other Banks/Depts,2,More than 1,1,2,1,1
Creditworthy,No Account,12,Paid Up,Used car,983,$100-$1000,< 1yr,1,None,4,1,19,Other Banks/Depts,1,1,1,1,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,996,$100-$1000,1-4 yrs,4,None,4,1,23,Other Banks/Depts,2,More than 1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Home Related,1037,< $100,1-4 yrs,3,None,4,1,39,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Home Related,1103,None,1-4 yrs,4,Yes,3,1,29,Other Banks/Depts,2,More than 1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Home Related,1107,None,< 1yr,2,None,2,1,20,Other Banks/Depts,1,1,1,2,2,1
Non-Creditworthy,No Account,12,Some Problems,Home Related,1108,None,1-4 yrs,4,None,3,1,28,Other Banks/Depts,2,More than 1,1,1,1,1
Non-Creditworthy,Some Balance,12,Paid Up,Used car,1123,$100-$1000,< 1yr,4,None,,3,29,Other Banks/Depts,1,1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Home Related,1158,$100-$1000,< 1yr,3,None,,3,26,Other Banks/Depts,2,1,1,1,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,1185,None,< 1yr,3,None,2,1,27,Other Banks/Depts,2,More than 1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Home Related,1200,$100-$1000,< 1yr,4,None,,2,23,Other Banks/Depts,1,1,1,1,2,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,1223,None,4-7 yrs,1,None,1,1,46,Other Banks/Depts,1,More than 1,1,1,1,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,1228,None,< 1yr,4,None,2,1,24,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,1240,$100-$1000,4-7 yrs,4,None,2,1,38,Other Banks/Depts,2,More than 1,1,1,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),Used car,1258,None,< 1yr,2,None,,2,22,Other Banks/Depts,1,More than 1,1,1,1,1
Creditworthy,Some Balance,12,Paid Up,Home Related,1262,None,< 1yr,3,None,,3,25,Other Banks/Depts,2,1,1,1,1,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,1274,None,< 1yr,3,None,1,1,37,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Used car,1289,None,< 1yr,4,Yes,,2,21,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Home Related,1318,$100-$1000,4-7 yrs,4,None,4,1,54,Other Banks/Depts,2,1,1,1,2,1
Creditworthy,Some Balance,12,Paid Up,Home Related,1330,None,< 1yr,4,None,1,1,26,Other Banks/Depts,2,1,1,1,1,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,1331,None,< 1yr,2,None,,3,22,Other Banks/Depts,2,1,1,1,1,1
Non-Creditworthy,Some Balance,12,Paid Up,Home Related,1386,$100-$1000,< 1yr,2,None,,2,26,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Other,1402,$100-$1000,1-4 yrs,3,None,4,3,,Other Banks/Depts,1,1,1,1,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),Used car,1402,$100-$1000,1-4 yrs,3,None,,3,37,Other Banks/Depts,1,1,1,1,2,1
Creditworthy,No Account,12,No Problems (in this bank),New car,1409,None,4-7 yrs,4,None,3,1,54,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,1424,None,1-4 yrs,4,None,,2,26,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,12,Paid Up,Used car,1424,$100-$1000,4-7 yrs,3,None,4,1,55,Other Banks/Depts,2,1,1,1,2,1
Creditworthy,Some Balance,12,Paid Up,Used car,1474,None,< 1yr,4,None,,2,33,Other Banks/Depts,2,1,1,1,2,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,1484,$100-$1000,< 1yr,2,None,1,1,25,Other Banks/Depts,2,1,1,1,2,1
Creditworthy,Some Balance,12,Paid Up,Home Related,1493,None,< 1yr,4,None,,3,34,Other Banks/Depts,2,1,1,2,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),New car,1503,None,< 1yr,4,None,4,1,41,Other Banks/Depts,1,1,1,1,1,1
Creditworthy,No Account,12,No Problems (in this bank),New car,1526,None,4-7 yrs,4,None,,4,66,Other Banks/Depts,3,More than 1,1,1,1,1
Non-Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,1555,$100-$1000,4-7 yrs,4,None,,4,55,Other Banks/Depts,3,More than 1,1,2,1,1
Creditworthy,No Account,12,Paid Up,Used car,1620,None,< 1yr,2,Yes,,2,30,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,12,Paid Up,Other,1736,None,1-4 yrs,3,None,4,1,,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,12,Paid Up,Used car,1736,None,1-4 yrs,3,None,4,1,31,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Used car,1858,None,< 1yr,4,None,,3,22,Other Banks/Depts,1,1,1,1,1,1
Creditworthy,No Account,12,No Problems (in this bank),New car,1860,None,< 1yr,4,None,,3,34,Other Banks/Depts,2,More than 1,1,1,2,1
Creditworthy,Some Balance,12,Paid Up,Home Related,1884,None,4-7 yrs,4,None,,3,39,Other Banks/Depts,2,1,1,1,2,1
Creditworthy,No Account,12,Paid Up,Home Related,1893,None,< 1yr,4,Yes,,2,29,Other Banks/Depts,2,1,1,1,2,1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,1995,< $100,< 1yr,4,None,,3,27,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Home Related,2002,None,1-4 yrs,3,None,,2,30,Other Banks/Depts,1,1,1,2,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,2012,$100-$1000,1-4 yrs,4,None,,3,61,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,2121,None,< 1yr,4,None,,2,30,Other Banks/Depts,2,More than 1,1,1,1,1
Creditworthy,Some Balance,12,Paid Up,Home Related,2141,< $100,1-4 yrs,3,None,,4,35,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,12,Paid Up,Home Related,2171,None,< 1yr,2,None,,3,29,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,2171,None,< 1yr,4,None,,2,38,Other Banks/Depts,2,More than 1,1,1,1,2
Non-Creditworthy,No Account,12,No Problems (in this bank),Used car,2246,None,4-7 yrs,3,None,,2,60,Other Banks/Depts,2,More than 1,1,1,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,2247,None,< 1yr,2,None,,3,36,Other Banks/Depts,2,More than 1,1,1,2,1
Creditworthy,Some Balance,12,Paid Up,Home Related,2279,$100-$1000,< 1yr,4,None,,4,37,Other Banks/Depts,3,1,1,1,2,1
Non-Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,2292,None,< 1yr,4,None,,3,42,Other Banks/Depts,2,More than 1,1,1,2,1
Creditworthy,No Account,12,Paid Up,Used car,2577,None,< 1yr,2,None,,3,42,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,2748,None,4-7 yrs,2,None,,4,57,Other Banks/Depts,3,More than 1,1,1,1,1
Creditworthy,Some Balance,12,Paid Up,Home Related,2859,$100-$1000,< 1yr,4,None,,4,38,Other Banks/Depts,2,1,1,1,2,1
Creditworthy,No Account,12,Paid Up,Home Related,2930,None,1-4 yrs,2,None,1,1,27,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Other,3017,None,< 1yr,3,None,1,1,,Other Banks/Depts,1,1,1,1,1,1
Creditworthy,No Account,12,Paid Up,Used car,3017,None,< 1yr,3,None,1,1,34,Other Banks/Depts,1,1,1,1,1,1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,3124,None,< 1yr,1,None,3,1,49,Other Banks/Depts,2,More than 1,1,2,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Used car,3331,None,4-7 yrs,2,None,,2,42,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,12,Paid Up,Home Related,3399,$100-$1000,4-7 yrs,2,None,,3,37,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,Some Balance,12,Paid Up,Home Related,3527,$100-$1000,< 1yr,2,None,,2,45,Other Banks/Depts,2,1,1,2,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),Used car,5801,$100-$1000,4-7 yrs,2,None,,2,49,Other Banks/Depts,1,1,1,1,2,2
Non-Creditworthy,No Account,12,Paid Up,Home Related,6468,$100-$1000,< 1yr,2,None,,4,52,Other Banks/Depts,2,1,1,1,2,1
Creditworthy,No Account,12,Paid Up,Home Related,7472,$100-$1000,< 1yr,1,None,2,1,24,Other Banks/Depts,1,1,1,1,1,1
Creditworthy,Some Balance,13,Paid Up,Home Related,1409,< $100,< 1yr,2,None,4,1,64,Other Banks/Depts,2,1,1,1,1,1
Creditworthy,No Account,14,Paid Up,Home Related,1410,$100-$1000,4-7 yrs,1,None,2,1,35,Other Banks/Depts,2,1,1,1,2,1
Non-Creditworthy,No Account,14,Paid Up,Home Related,8978,None,4-7 yrs,1,None,,2,45,Other Banks/Depts,2,1,1,1,2,2
Non-Creditworthy,No Account,15,Some Problems,Home Related,950,None,4-7 yrs,4,None,,3,33,Other Banks/Depts,1,More than 1,1,2,1,1
Creditworthy,Some Balance,15,No Problems (in this bank),Used car,960,$100-$1000,1-4 yrs,3,None,,2,30,Other Banks/Depts,2,More than 1,1,1,1,1
Creditworthy,No Account,15,No Problems (in this bank),Used car,975,None,< 1yr,2,None,,2,25,Other Banks/Depts,2,More than 1,1,1,1,1
